row_id,integer_col,decimal_col,timestamp_col,boolean_col,holiday_name,business_datetime,created_datetime
27,18,,,,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
34,84,4.0928270102633065e+38,,,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
37,,,,,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
102,,,,,invalid holiday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
105,,1.2345678901234567e+42,,,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
3,,1.2345678901234568e+39,2006-01-26 00:00:00 UTC,,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
35,,,2006-01-26 00:00:00 UTC,,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
47,,6.37371121291259e+38,2006-01-26 00:00:00 UTC,,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
82,,8.6473064161572161e+38,2006-01-26 00:00:00 UTC,,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
49,,6.4140251775071808e+38,2026-01-06 00:00:00 UTC,,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
87,,8.0051728653269322e+38,2026-01-06 00:00:00 UTC,,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
6,58,8.4980618582554878e+38,2026-01-06 07:48:25 UTC,,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
28,,4.3419704646726062e+37,2026-01-06 07:48:25 UTC,,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
45,2787,,2026-01-06 07:48:25 UTC,,Buddhist Lent,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
72,25,7.6875263231048674e+38,2026-01-06 07:48:25 UTC,,Queen's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
80,84,6.3294040562966269e+38,2026-01-06 07:48:25 UTC,,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
14,,1.2345678901234568e+39,,false,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
25,95,1.2345678901234568e+39,,false,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
38,,2.2331809509621877e+38,,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
48,17,5.9188688253310638e+38,,false,Buddhist Lent,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
77,45,,,false,Buddhist Lent,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
78,,,,false,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
85,,,,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
99,89,1.2345678901234568e+39,,false,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
101,,,,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
103,,,,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
104,,,,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
5,73,,2006-01-26 00:00:00 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
10,61,,2006-01-26 00:00:00 UTC,false,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
43,56,1.2345678901234568e+39,2006-01-26 00:00:00 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
59,9,,2006-01-26 00:00:00 UTC,false,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
60,12,6.951495585426222e+38,2006-01-26 00:00:00 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
88,,456.789,2006-01-26 00:00:00 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
2,,5.52215489184241e+38,2026-01-06 00:00:00 UTC,false,Labour Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
4,81,4.3872338176088133e+38,2026-01-06 00:00:00 UTC,false,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
17,,1.2345678901234568e+39,2026-01-06 00:00:00 UTC,false,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
18,,9.6259362934717283e+38,2026-01-06 00:00:00 UTC,false,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
19,,7.3168623566043254e+37,2026-01-06 00:00:00 UTC,false,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
22,79,9.7626730727617974e+38,2026-01-06 00:00:00 UTC,false,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
31,,1.5640965632261559e+38,2026-01-06 00:00:00 UTC,false,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
33,100,1.802917236639796e+38,2026-01-06 00:00:00 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
64,55216,456.789,2026-01-06 00:00:00 UTC,false,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
79,30,3.4678916109928533e+38,2026-01-06 00:00:00 UTC,false,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
